current_name,pre_nomos,pre_dimos
ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ,ΔΡΑΜΑΣ,ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ
ΔΟΞΑΤΟΥ,ΔΡΑΜΑΣ,ΔΟΞΑΤΟΥ
ΚΥΡΙΩΝ,ΔΡΑΜΑΣ,ΚΥΡΙΩΝ
ΑΓΟΡΑΣ,ΔΡΑΜΑΣ,ΑΓΟΡΑΣ
ΚΕΦΑΛΑΡΙΟΥ,ΔΡΑΜΑΣ,ΚΕΦΑΛΑΡΙΟΥ
ΠΗΓΑΔΙΩΝ,ΔΡΑΜΑΣ,ΠΗΓΑΔΙΩΝ
ΚΑΛΑΜΠΑΚΙΟΥ,ΔΡΑΜΑΣ,ΚΑΛΑΜΠΑΚΙΟΥ
ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΔΡΑΜΑΣ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ
ΚΑΛΑΜΩΝΟΣ,ΔΡΑΜΑΣ,ΚΑΛΑΜΩΝΟΣ
ΝΕΡΟΦΡΑΚΤΟΥ,ΔΡΑΜΑΣ,ΝΕΡΟΦΡΑΚΤΟΥ
ΦΤΕΛΙΑΣ,ΔΡΑΜΑΣ,ΦΤΕΛΙΑΣ
ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,ΔΡΑΜΑΣ
ΞΗΡΟΠΟΤΑΜΟΥ,ΔΡΑΜΑΣ,ΞΗΡΟΠΟΤΑΜΟΥ
ΧΩΡΙΣΤΗΣ,ΔΡΑΜΑΣ,ΧΩΡΙΣΤΗΣ
ΚΑΛΛΙΦΥΤΟΥ,ΔΡΑΜΑΣ,ΚΑΛΛΙΦΥΤΟΥ
ΚΑΛΟΥ ΑΓΡΟΥ,ΔΡΑΜΑΣ,ΚΑΛΟΥ ΑΓΡΟΥ
ΚΟΥΔΟΥΝΙΩΝ,ΔΡΑΜΑΣ,ΚΟΥΔΟΥΝΙΩΝ
ΛΙΒΑΔΕΡΟΥ,ΔΡΑΜΑΣ,ΛΙΒΑΔΕΡΟΥ
ΜΑΚΡΥΠΛΑΓΙΟΥ,ΔΡΑΜΑΣ,ΜΑΚΡΥΠΛΑΓΙΟΥ
ΜΑΥΡΟΒΑΤΟΥ,ΔΡΑΜΑΣ,ΜΑΥΡΟΒΑΤΟΥ
ΜΙΚΡΟΧΩΡΙΟΥ,ΔΡΑΜΑΣ,ΜΙΚΡΟΧΩΡΙΟΥ
ΜΟΝΑΣΤΗΡΑΚΙΟΥ,ΔΡΑΜΑΣ,ΜΟΝΑΣΤΗΡΑΚΙΟΥ
ΜΥΛΟΠΟΤΑΜΟΥ,ΔΡΑΜΑΣ,ΜΥΛΟΠΟΤΑΜΟΥ
